0,0.5,0.05,0.1,0.16,0.1,0.11,0.1,0.03,0.13,0.04,0.5,0.5,0.5,
0.5,0,0,0,0.5,0.5,0.25,0,0,0,0,0,0,0,
0.05,0,0,0.16,0.13,0.16,0.26,0.25,0.1,0.12,0.27,0.3,0.5,0.5,
0.1,0,0.16,0,0.05,0.3,0,0,0.1,0.08,0.2,0,0.5,0,
0.16,0.5,0.13,0.05,0,0.1,0.05,0.25,0.12,0.18,0.13,0.1,0,0.5,
0.1,0.5,0.16,0.3,0.1,0,0,0.5,0.07,0.16,0,0.5,0,0,
0.11,0.25,0.26,0,0.05,0,0,0,0.12,0.04,0.1,0.33,0.5,0,
0.1,0,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0.5,
0.03,0,0.1,0.1,0.12,0.07,0.12,0,0,0.14,0.27,0.3,0,0,
0.13,0,0.12,0.08,0.18,0.16,0.04,0,0.14,0,0.1,0.16,0,0,
0.04,0,0.27,0.2,0.13,0,0.1,0,0.27,0.1,0,0.25,0.5,0,
0.5,0,0.3,0,0.1,0.5,0.33,0,0.3,0.16,0.25,0,0.5,0,
0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0,
0.5,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,